age,diploma,gender,living_place,csp,close_fam,close_friends,close_neighbors,close_colleagues,knows_fam,knows_friends,knows_neighbors,knows_colleagues,find_job,weight,csoc_Q01_01,csoc_Q01_02,csoc_Q01_03,csoc_Q01_04,csoc_Q01_05,csoc_Q01_06,csoc_Q01_07,csoc_Q01_08,csoc_Q01_09,csoc_Q01_10
4,1,2,5,5,3,3,2,3,3,3,2,2,7,0.0528874384159341,4,4,4,2,4,4,4,4,4,1
3,1,2,6,5,3,3,1,1,3,3,1,1,7,3.71357419368274,3,2,3,4,3,3,2,1,1,1
4,4,1,5,1,3,3,2,2,3,3,3,2,3,0.0319916855790603,4,2,4,3,1,3,3,3,4,3
5,3,1,7,4,3,3,1,1,3,3,3,3,7,0.616864264871591,4,2,4,4,2,4,3,1,4,1
2,2,1,2,5,1,1,1,1,1,1,1,1,7,0.71510338129649,4,4,4,4,4,4,4,4,4,4
5,2,1,1,4,4,4,3,1,1,3,3,1,1,0.374261337313421,3,3,3,3,4,4,3,3,3,3
4,2,2,1,5,5,4,1,5,4,6,1,7,5,0.435053462375121,3,3,1,3,4,4,1,1,3,3
5,2,1,4,4,4,3,1,1,6,3,3,1,3,0.783137809610028,4,4,1,4,4,4,3,3,4,1
3,4,2,6,3,3,3,1,3,2,3,1,3,3,0.232364952357345,4,3,3,3,3,2,4,2,4,2
2,4,1,6,2,3,3,1,2,3,6,1,1,6,0.421938122044876,3,3,3,3,3,3,3,2,3,1
5,3,2,2,6,4,3,3,1,3,3,3,1,3,0.204352552992253,4,1,4,3,4,4,3,1,4,1
4,3,1,5,4,2,2,2,1,3,3,2,1,6,0.726097243043664,4,4,4,,2,4,3,4,3,3
6,3,2,7,3,3,3,3,3,4,4,3,4,7,0.119779209228751,2,4,3,3,4,3,4,2,4,1
6,3,1,0,3,1,3,1,1,3,3,3,1,7,0.352366366999127,4,1,4,4,4,4,3,4,4,1
4,2,1,0,6,1,1,1,1,1,1,1,1,8,0.506559924608256,2,3,4,2,4,3,2,3,4,2
5,2,1,0,4,4,3,1,1,1,1,1,1,3,0.350083719934216,1,2,3,1,4,4,1,3,1,1
5,3,1,4,4,1,3,2,1,1,3,3,1,8,0.738886455938563,4,3,4,3,4,4,4,4,4,1
5,2,1,7,5,2,1,1,1,1,1,2,1,6,0.212021041313532,4,4,4,4,3,4,4,2,4,1
5,3,2,7,5,3,3,1,3,3,3,3,3,7,0.0325742158425629,4,4,4,4,3,3,4,2,4,1
2,4,2,2,5,3,3,1,3,3,3,1,3,3,1.71925993970974,4,1,4,3,4,3,4,1,3,1
4,4,2,8,4,2,3,1,1,6,1,6,5,6,0.47589937886673,1,3,3,4,3,4,1,1,3,3
2,3,1,0,6,2,2,1,1,3,3,1,1,6,0.27013216149624,3,4,3,3,3,4,3,2,3,3
5,2,1,7,6,3,3,1,1,3,3,1,1,3,0.995781941857675,1,1,4,4,4,,1,1,4,4
4,3,2,0,5,3,3,3,3,4,5,3,3,7,2.05350738880026,4,,3,3,4,1,3,3,3,3
6,4,1,7,3,4,4,2,1,4,5,3,3,8,0.146544493551109,4,4,2,4,4,4,3,2,2,2
4,2,2,0,5,3,3,1,1,3,3,1,1,1,0.45047344238791,4,,4,1,1,4,4,3,4,1
5,4,1,8,3,3,3,1,3,3,3,1,3,3,0.24371831372447,3,1,4,4,3,3,4,3,4,3
1,3,2,3,5,3,3,1,1,3,3,7,4,7,3.55166963547188,3,4,1,4,4,4,4,1,1,2
6,4,2,0,4,3,3,1,3,4,3,1,5,7,0.291601489842499,4,1,3,3,4,4,4,3,3,2
3,2,2,7,6,4,3,2,1,4,3,2,1,6,1.74870399297028,4,4,4,1,4,4,4,1,1,4
3,3,1,0,4,4,3,3,3,6,4,4,6,3,0.821031172319547,1,1,4,3,3,4,3,3,4,3
6,1,2,7,3,3,2,1,1,4,4,3,1,7,1.99988201415921,4,4,,3,1,4,4,4,4,1
3,2,1,2,5,3,3,3,3,2,2,1,2,7,1.07371333343585,3,3,3,3,4,4,3,4,4,3
